id,exerciseName,category,primaryMuscles,secondaryMuscles,equipment,difficulty,description,instructions,imageUrl,detailImageUrl
ex001,Bench Press,Chest,Chest|Triceps|Shoulders,Core,Barbell,Intermediate,"Compound chest press exercise","Lie on the bench, grip the bar, lower under control, press upward.",/images/exercises/bench-press.png,/images/exercises/details/bench-press-detail.png
ex002,Back Squat,Legs,Quadriceps|Glutes|Hamstrings,Core|Lower Back,Barbell,Intermediate,"Foundational lower-body strength exercise","Set the bar across your upper back, brace, squat to depth, and drive upward through your feet.",/images/exercises/back-squat.png,/images/exercises/details/back-squat-detail.png
ex003,Deadlift,Back,Hamstrings|Glutes|Back,Core|Forearms,Barbell,Advanced,"Full-body hinge movement for posterior-chain strength","Stand over the bar, hinge with a neutral spine, drive through the floor, and lock out tall.",/images/exercises/deadlift.png,/images/exercises/details/deadlift-detail.png
ex004,Pull-Up,Back,Lats|Biceps|Upper Back,Core,Bodyweight,Intermediate,"Vertical pulling exercise for back and arm strength","Hang from the bar, pull your chest toward it, control the lowering phase, and keep your body tight.",/images/exercises/pull-up.png,/images/exercises/details/pull-up-detail.png
ex005,Dumbbell Shoulder Press,Shoulders,Shoulders|Triceps,Upper Chest|Core,Dumbbells,Beginner,"Overhead press variation for shoulder strength","Start with dumbbells at shoulder height, brace, press overhead, and lower with control.",/images/exercises/dumbbell-shoulder-press.png,/images/exercises/details/dumbbell-shoulder-press-detail.png
ex006,Romanian Deadlift,Legs,Hamstrings|Glutes,Lower Back|Core,Barbell,Intermediate,"Hip-hinge exercise focused on hamstrings and glutes","Hold the bar, soften your knees, hinge back until you feel hamstring tension, then stand tall.",/images/exercises/romanian-deadlift.png,/images/exercises/details/romanian-deadlift-detail.png
ex007,Walking Lunge,Legs,Quadriceps|Glutes|Hamstrings,Calves|Core,Dumbbells,Beginner,"Single-leg movement for strength and balance","Step forward, lower until both knees bend, push through the front foot, and alternate legs.",/images/exercises/walking-lunge.png,/images/exercises/details/walking-lunge-detail.png
ex008,Cable Row,Back,Lats|Upper Back|Biceps,Rear Delts,Cable,Beginner,"Horizontal pull for back thickness and posture","Sit tall, pull the handle toward your torso, squeeze your shoulder blades, and return slowly.",/images/exercises/cable-row.png,/images/exercises/details/cable-row-detail.png
ex010,SkiErg,Conditioning,Lats|Core|Shoulders,Triceps,Machine,Beginner,"Low-impact conditioning movement using a ski ergometer","Reach tall, hinge and pull the handles down powerfully, then reset with rhythm.",/images/exercises/skierg.png,/images/exercises/details/skierg-detail.png
ex011,Sled Push,Conditioning,Quadriceps|Glutes|Calves,Core|Shoulders,Sled,Intermediate,"Heavy conditioning drill for lower-body power","Lean into the sled with locked arms, drive your knees forward, and keep steady pressure through each step.",/images/exercises/sled-push.png,/images/exercises/details/sled-push-detail.png
ex012,Burpee Broad Jump,Conditioning,Chest|Core|Quadriceps,Shoulders|Glutes,Bodyweight,Advanced,"High-output conditioning movement combining a burpee and forward jump","Drop to the floor, complete a burpee, jump forward explosively, and reset under control.",/images/exercises/burpee-broad-jump.png,/images/exercises/details/burpee-broad-jump-detail.png
ex013,Running,Conditioning,Quadriceps|Hamstrings|Glutes,Calves|Core,Bodyweight,Beginner,"Cardio movement for aerobic fitness and endurance","Run at the prescribed pace, keep a tall posture, relax your shoulders, and maintain steady breathing.",/images/exercises/running.png,/images/exercises/details/running-detail.png
ex014,Sled Pull,Conditioning,Hamstrings|Glutes|Back,Core|Forearms,Sled,Intermediate,"Loaded conditioning drill using a backward or rope-assisted pull","Brace your trunk, keep tension through the straps or rope, and pull the sled with controlled powerful steps.",/images/exercises/sled-pull.png,/images/exercises/details/sled-pull-detail.png
ex015,Rowing,Conditioning,Back|Hamstrings|Glutes,Biceps|Core,Machine,Beginner,"Low-impact full-body conditioning movement on a rower","Drive with your legs, swing the torso open, pull the handle to your ribs, and recover in reverse order.",/images/exercises/rowing.png,/images/exercises/details/rowing-detail.png
